"sous_corpus","expression","Phrase(s)"
"Sequoia","accorder attention","§ ['accorder', 'attention'] : Je crois aussi qu'il faut accorder une attention particulière -c'est l'objet d'un amendement que nous présenterons demain en plénière- au droit à la vie privée."
"Sequoia","donner éclaircissement","§ ['donner', 'éclaircissements'] : En conséquence, la Commission pense qu'elle devrait donner des éclaircissements sur deux idées très strictes et claires au Parlement."
"Sequoia","faire preuve","§ ['fait', 'preuve'] : Le Conseil a bien sûr fait preuve de générosité en ce sens qu'il a confié la gestion et le fonctionnement technique à la Commission.  § ['faire', 'preuve'] : C'est un état de fait que la plupart des personnes au Parlement ne veulent pas mais nous devons faire preuve de prudence quant à l'approche que nous adoptons, afin de ne pas obtenir l'opposé de ce que nous essayons de réaliser."
"Sequoia","faire défaut","§ ['fait', 'défaut'] : J'espère que cela incitera la Commission à adopter une attitude plus active, ce qui, selon moi, fait défaut jusqu'à présent."
"Sequoia","fournir aide","§ ['fournir', 'aide'] : J'invite la Commission à prendre ce signal avec le plus grand sérieux et à fournir cette aide."
"Sequoia","se assurer","§ ['se', 'assurés'] : Ils se sont assurés que l'Irak ne dispose d'aucune fusée à longue portée pouvant menacer ses voisins.  § [""s'"", 'assurer'] : Chez les patients sous warfarine traités par bivalirudine, un suivi de l'INR doit être effectué, après l'arrêt du traitement par bivalirudine, afin de s'assurer du retour de l'INR aux niveaux observés avant le traitement.  § [""s'"", 'assurer'] : Les états membres doivent s'assurer que le programme d'éducation qui a été mis en place suite à l'indication dans le traitement de l'ostéoporose post-ménopausique soit étendu aux prescripteurs potentiels concernés par la nouvelle indication : traitement de l'ostéoporose post-ménopausique et de l'ostéoporose masculine chez les patients à risque élevé des fractures, notamment chez les patients ayant eu une fracture de hanche récente secondaire à un traumatisme modéré."
"Sequoia","se adresser","§ ['vous', 'adressiez'] : Je pense que ce serait très bienvenu si vous-même, en tant que Présidente du Parlement européen, vous adressiez, dans les formes qui vous conviendraient, aux autorités turques pour demander la libération de cet homme d'honneur.  § [""s'"", 'adressé'] : Madame la Présidente, le président de groupe M. Barón Crespo s'est aussi adressé à moi.  § [""m'"", 'adresser'] : Je puis donc m'adresser à tous mes collègues pour les encourager à voter pour ce rapport, et à travailler dans ce sens dans leurs pays respectifs, auprès des gouvernements, des organisations et des médias."
"Sequoia","présenter avantage","§ ['présente', 'avantage'] : Ceci présente l'avantage qu'un solde résultant des comptes peut être reporté sur l'année suivante."
"Sequoia","se dérouler","§ ['se', 'dérouler'] : Monsieur le Président, je voudrais surtout discuter, pendant le temps qui m'est imparti, de la conférence sur le financement du pacte de stabilité qui vient de se dérouler, car j'estime qu'il est bien plus judicieux de diriger son attention sur celui-ci que sur le texte de mon rapport qui a bien sûr été écrit pour cette conférence.  § ['se', 'dérouler'] : Son correspondant lui indique qu'une transaction doit se dérouler à l'heure du déjeuner à l'hôtel Mercure de Nogent-sur-Marne : une femme doit remettre 50 000 francs à un homme aux cheveux bruns qui arrivera en 4X4.  § ['se', 'déroulaient'] : Je pense dès lors que, si les élections au Zimbabwe ne se déroulaient pas correctement, pour l'une ou l'autre raison, la Commission devrait continuer à suivre la ligne de conduite qu'elle vient de définir."
"Sequoia","diriger attention","§ ['diriger', 'attention'] : Monsieur le Président, je voudrais surtout discuter, pendant le temps qui m'est imparti, de la conférence sur le financement du pacte de stabilité qui vient de se dérouler, car j'estime qu'il est bien plus judicieux de diriger son attention sur celui-ci que sur le texte de mon rapport qui a bien sûr été écrit pour cette conférence."
"Sequoia","prendre initiative","§ ['pris', 'initiative'] : C'était également une réussite, et je ne le dis pas seulement pour complimenter le commissaire, parce qu'il était évident que l'Union européenne, la Commission européenne, a enfin pris une initiative, tandis qu'elle est restée à mon avis trop longtemps à l'arrière-plan.  § ['initiatives', 'prendre'] : Je voudrais demander quelles nouvelles initiatives peut prendre le Conseil pour préserver les intérêts de ces agriculteurs dans le cadre des prochaines négociations sur le commerce mondial, en particulier face à la production à grande échelle et de style industriel des États-Unis et de la Nouvelle-Zélande, où les économies d'échelle font qu'il est extrêmement difficile pour les exploitations familiales européennes de rester compétitives et où, bien sûr, les normes européennes en matière de sécurité alimentaire ne s'appliquent pas.  § ['prend', 'initiatives'] : Le juge, souhaitant en avoir le coeur net, prend une série d'initiatives."
"Sequoia","se traduire","§ ['se', 'traduire'] : Mais l'introduction effective de l'euro en 2002 va se traduire par une transparence et une concurrence telles que les marchés nationaux vont devoir s'adapter plus rapidement que prévu.  § ['se', 'traduisant'] : Un saignement majeur a été défini comme étant la survenue de l'un des éléments suivants : hémorragie intracrânienne, hémorragie rétropéritonéale, perte de sang nécessitant la transfusion d'au moins deux unités de sang complet ou d'hématies concentrées, ou saignement se traduisant par une chute de l'hémoglobine de plus de 3 g/dl ou une chute de l'hémoglobine supérieure à 4 g/dl (ou 12% de l'hématocrite) sans site de saignement identifié.  § ['se', 'traduit'] : La liaison de la bivalirudine à la thrombine, et par conséquent son activité, est réversible, dans la mesure où la thrombine clive lentement la liaison Arg3-Pro4 de la bivalirudine, ce qui se traduit par un rétablissement de la fonction du site actif de la thrombine."
"Sequoia","se adapter","§ [""s'"", 'adapter'] : Mais l'introduction effective de l'euro en 2002 va se traduire par une transparence et une concurrence telles que les marchés nationaux vont devoir s'adapter plus rapidement que prévu."
"Sequoia","se lever","§ ['se', 'levés'] : Où sont-ils donc ces 32 et quelques, qui se sont levés et qui se lèveront encore, mais sont absents maintenant pendant que nous délibérons ?  § ['se', 'lèveront'] : Où sont-ils donc ces 32 et quelques, qui se sont levés et qui se lèveront encore, mais sont absents maintenant pendant que nous délibérons ?"
"Sequoia","mettre à le voix","§ ['mettre', 'à', 'les', 'voix'] : Je ne peux donc pas mettre cette demande aux voix."
"Sequoia","engagement prendre","§ ['engagement', 'pris'] : En effet, la proposition découle d'un engagement qui a été pris concernant la commission de suivi."
"Sequoia","se défaire","§ ['se', 'défaire'] : Je pense que cela est important pour garantir davantage de démocratie, pour se défaire de la comitologie et pour renforcer le contrôle du Parlement."
"Sequoia","passer à le action","§ ['passer', 'à', ""l'"", 'action'] : Je voudrais souligner, comme l'a fait le précédent orateur, la nécessité de passer à l'action, de développer la coopération entre les polices et d'augmenter l'information dans ce domaine."
"Sequoia","conduite mener","§ ['conduite', 'menée'] : Après une année d'études, la conduite des travaux est menée par le cabinet Cadel et son associé, M. Bruand, sous le contrôle de l'Equipement, en neuf mois."
"Sequoia","avoir rendez-vous","§ ['ont', 'rendez-vous'] : Les tireurs de la Vaux-Racine ont rendez-vous à partir de 9h, sur les pas de tir, à l'occasion d'une séance d'entraînement."
"Sequoia","perdre connaissance","§ ['perdu', 'connaissance'] : S'apercevant que son mari avait soudainement perdu connaissance, l'épouse, passagère avant, a tenté de garder le véhicule en ligne droite en se saisissant du volant."
"Sequoia","se saisir","§ ['se', 'saisissant'] : S'apercevant que son mari avait soudainement perdu connaissance, l'épouse, passagère avant, a tenté de garder le véhicule en ligne droite en se saisissant du volant."
"Sequoia","se éteindre","§ [""s'"", 'éteinte'] : Atteinte depuis peu d'une grave maladie, Suzanne Sequin s'est éteinte samedi au centre hospitalier de Bar-le-Duc, où elle avait été admise il y a un mois.  § [""s'"", 'éteinte'] : Denise Jacquin s'est éteinte mercredi, à l'âge de 73 ans, à l'hôpital, des suites d'une pénible maladie contre laquelle elle a lutté courageusement."
"Sequoia","se présenter","§ ['se', 'présentent'] : Lorsque les représentants de l'ordre se présentent sur les lieux, il n'y a plus trace de la moindre bagarre.  § ['se', 'présentent'] : La question que je pose au commissaire est donc de savoir comment les choses se présentent pour la première année, l'an 2001."
"Sequoia","attirer attention","§ ['attirer', 'attention'] : Ce dernier vient de répondre aux maires de la vallée et au député Claude Jacquot, qui lui avaient fait collectivement un courrier pour, de nouveau, attirer son attention sur ce dossier.  § ['attire', 'attention'] : Elle attire l'attention de la justice sur de fausses facturations mêlant la société SAR, dirigée par Francis Poullain, à Jean-Claude Méry, membre du comité exécutif du RPR, qui exerçait une activité de consultant auprès des entreprises du bâtiment.  § ['attirer', 'attention'] : Finalement, je voudrais encore attirer votre attention sur la série d'amendements qui font effectivement en sorte que certains points de l'annexe soient repris dans le corps du rapport."
"Sequoia","répondre présent","§ ['répondu', 'présents'] : Grosse journée pour les nombreux bénévoles de la section puisque, finalement, 210 petits combattants ont répondu présents !"
"Sequoia","photographie prendre","§ ['photographies', 'prises'] : De magnifiques photographies d'orages, prises pour la plupart depuis l'observatoire de Montsec, point de vue somptueux sur le Lac de Madine."
"Sequoia","apporter réponse","§ ['apporter', 'réponse'] : La poursuite des investigations policières permettra d'apporter une réponse quant à l'origine de ce sinistre qui a perturbé la tranquillité de dizaines de familles de l'immeuble."
"Sequoia","se rendre","§ [""s'"", 'rendu'] : L'ancien président de Serbie Milan Milutinovic, inculpé aux côtés de l'ex-chef d'Etat yougoslave Slobodan Milosevic pour crimes de guerre au Kosovo, s'est rendu volontairement hier au Tribunal pénal international (TPI) pour l'ex-Yougoslavie de La Haye.  § ['se', 'rend'] : En ce dimanche après-midi, un Belfortain de 20 ans se rend à Bethoncourt (25), au quartier de Champvallon, où il doit retrouver son amie.  § ['se', 'rendront'] : Puis, le jour J, dans le cadre de l'opération ""ville, vie, vacances"", les jeunes Maxévillois accompagnés des animateurs se rendront à Mont-Saint-Martin près de Metz où ils seront dans l'obscurité totale durant 2 mn 30."
"Sequoia","produire effet","§ ['produit', 'effet'] : Elles n'ont pas produit d'effet, notamment auprès des grandes formations susceptibles d'avoir des députés."
"Sequoia","effectuer enquête","§ ['effectuaient', 'enquête'] : Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès des hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille."
"Sequoia","se informer","§ [""s'"", 'informaient'] : Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès des hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille."
"Sequoia","trouver refuge","§ ['trouver', 'refuge'] : Aussitôt, les gendarmes effectuaient une enquête de voisinage et s'informaient auprès des hôpitaux ou de tout autre endroit où aurait pu trouver refuge la jeune fille."
"Sequoia","présenter condoléances","§ ['présentons', 'condoléances'] : à son époux, à ses enfants, ainsi qu'à toute sa famille, nous présentons nos sincères condoléances."
"Sequoia","présenter voeu","§ ['présenter', 'voeux'] : Les passionnés de jardinage se réunissaient samedi, rue de la Justice, lors de l'assemblée générale de l'association des Jardiniers de France de Maxéville, afin de revenir sur les actions menées en 2002, et l'occasion également pour J.-P. Bruneau, son président, de présenter ses voeux à la dizaine d'adhérents présents.  § ['présenter', 'voeux'] : Donc l'Autriche a tout à fait le droit de former un gouvernement et le Président de la Commission a parfaitement le droit, et a même le devoir, de présenter ses meilleurs voeux à l'Autriche."
"Sequoia","repasser à le offensive","§ ['repassa', 'à', ""l'"", 'offensive'] : Jacques Rousselot qui tenait à conserver Correa repassa à l'offensive et après une première proposition d'un an, il se rangea au souhait du joueur qui en souhaitait deux : ""Notre objectif reste le maintien."
"Sequoia","se ranger","§ ['se', 'rangea'] : Jacques Rousselot qui tenait à conserver Correa repassa à l'offensive et après une première proposition d'un an, il se rangea au souhait du joueur qui en souhaitait deux : ""Notre objectif reste le maintien.  § ['se', 'ranger'] : Le député en question n'a pas le droit de se ranger du côté de Mandela."
"Sequoia","prendre en compte","§ ['pris', 'en', 'compte'] : Bien sûr, je ne néglige pas l'aspect financier, mais il n'est pas le seul élément que j'ai pris en compte "".  § ['prises', 'en', 'compte'] : Comme Aclasta contient le même principe actif que Zometa, certaines données présentées pour Zometa ont été prises en compte lors de l'évaluation d'Aclasta."
"Sequoia","avoir envie","§ ['aurai', 'envie'] : Tout à sa joie, l'Uruguayen s'en tirait par une pirouette : ""Dans deux ans, j'aurai peut-être encore envie de jouer""."
"Sequoia","se retourner","§ ['se', 'retourner'] : L'automobile a perdu sa roue gauche, et a décollé pour se retourner et terminer sa course sur le toit."
"Sequoia","avoir recours","§ ['eu', 'recours'] : Le trio n'a pas eu recours à la violence physique pour contraindre le chauffeur à jouer le rôle de taxi mais a cherché à impressionner ce dernier.  § ['avoir', 'recours'] : J'espère que nous ne devrons pas avoir recours au type de mesures que vous suggérez, Monsieur le Député.  § ['eu', 'recours'] : Jacques Dominati a menacé à l'audience de produire une liste d'élus qui auraient eu recours à ces pratiques irrégulières, soutenant que la pratique était généralisée."
"Sequoia","jouer rôle","§ ['jouer', 'rôle'] : Le trio n'a pas eu recours à la violence physique pour contraindre le chauffeur à jouer le rôle de taxi mais a cherché à impressionner ce dernier.  § ['joue', 'rôle'] : La thrombine joue un rôle central dans le processus thrombotique, scindant le fibrinogène en monomères de fibrine et activant le Facteur XIII en Facteur XIIIa, ce qui permet à la fibrine de développer un réseau de liaisons croisées covalentes qui stabilise le thrombus.  § ['joue', 'rôle'] : Une diminution du taux circulant des hormones sexuelles, principalement des estrogènes convertis à partir des androgènes, joue aussi un rôle dans la perte osseuse graduelle observée chez les hommes."
"Sequoia","atteindre angor","§ ['atteints', 'angor'] : Ceci peut contribuer à maintenir le flux sanguin vers le coeur chez les patients atteints d'angor ou d'une crise cardiaque et à améliorer l'efficacité de leur ICP."
"Sequoia","atteindre crise","§ ['atteints', 'crise'] : Ceci peut contribuer à maintenir le flux sanguin vers le coeur chez les patients atteints d'angor ou d'une crise cardiaque et à améliorer l'efficacité de leur ICP."
"Sequoia","faire le objet","§ ['faisant', ""l'"", 'objet'] : Les patients faisant l'objet d'un traitement conservateur médical peuvent continuer la perfusion de 0,25 mg/kg/h pendant 72 heures.  § ['fera', ""l'"", 'objet'] : Plus tard, le bombardement des tranchées françaises fera l'objet d'une polémique, à la suite d'un témoignage : Le général Réveilhac, ordonnateur de l'attaque, aurait demandé à l'artillerie de pilonner les positions française pour obliger les soldats à sortir de leurs tranchées.  § ['faire', ""l'"", 'objet'] : Les patients doivent être informés sur les symptômes caractérisant l'hypocalcémie et faire l'objet d'une surveillance clinique appropriée pendant la période à risque."
"Sequoia","faire le objet traitement","§ ['faisant', ""l'"", 'objet', 'traitement'] : Les patients faisant l'objet d'un traitement conservateur médical peuvent continuer la perfusion de 0,25 mg/kg/h pendant 72 heures."
"Sequoia","bénéficier de pontage","§ ['bénéficiant', ""d'"", 'pontage'] : Pour les patients bénéficiant d'un pontage aorto-coronaire sans CEC, la perfusion de bivalirudine doit être maintenue jusqu'à l'intervention.  § ['bénéficiant', ""d'"", 'pontage'] : Pour les patients bénéficiant d'un pontage aorto-coronaire avec CEC, la perfusion de bivalirudine devra être maintenue jusqu'à 1 heure avant l'opération, après quoi la perfusion devra être arrêtée et le patient traité avec de l'héparine non fractionnée.  § ['bénéficient', ""d'"", 'pontage'] : Après angiographie, les patients sont soit pris en charge médicalement (33%) soit bénéficient d'une angioplastie (56%) ou d'un pontage aorto-coronaire (11%)."
"Sequoia","se imposer","§ [""s'"", 'impose'] : La prudence s'impose chez les sujets âgés en raison d'une diminution de la fonction rénale liée à l'âge."
"Sequoia","présenter hypertension","§ ['présentant', 'hypertension'] : présentant une hypertension sévère non contrôlée et/ou une endocardite bactérienne subaiguë."
"Sequoia","présenter endocardite","§ ['présentant', 'endocardite'] : présentant une hypertension sévère non contrôlée et/ou une endocardite bactérienne subaiguë."
"Sequoia","il y avoir lieu","§ ['IL', 'Y', 'A', 'LIEU'] : PRECAUTIONS PARTICULIERES D'ELIMINATION DES MEDICAMENTS NON UTILISES OU DES DECHETS PROVENANT DE CES MEDICAMENTS S'IL Y A LIEU  § ['il', 'y', 'a', 'lieu'] : Madame la Présidente, je voudrais préciser clairement que si nous avons convenu que le Zimbabwe serait le cinquième point, alors il n'y a pas lieu de voter sur d'autres points parce que nous avons déjà cinq points à l'ordre du jour."
"Sequoia","avoir doute","§ ['avez', 'doute'] : - Si vous avez d'autres questions, si vous avez un doute, demandez plus d'informations à votre pharmacien  § ['a', 'doutes'] : Peu après la signature, Alain Gomez, PDG du Thomson CSF, refuse de le payer car il a des doutes sur la destination finale des 160 millions de francs de commissions."
"Sequoia","avoir infection","§ ['eu', 'infection'] : - si vous avez ou avez eu une infection du tissu cardiaque."
"Sequoia","avoir effet","§ ['avoir', 'effets'] : Comme tous les médicaments, Angiox est susceptible d'avoir des effets indésirables.  § ['eu', 'effet'] : Peut-être a-t-elle eu le tort, la veille, de faire installer des poubelles fixes, synonymes, à priori, de propreté, ce qui a eu probablement pour effet d'inciter les gens à rester à domicile.  § ['avoir', 'effet'] : La prudence est requise lorsqu'Aclasta est administré avec des médicaments qui peuvent avoir un effet sur la fonction rénale (par exemple, aminoglucosides ou diurétiques qui peuvent entraîner une déshydratation)."
"Sequoia","se rapprocher","§ ['se', 'rapprocher'] : Le principal critère d'évaluation de l'efficacité a été de mesurer si le taux dans le sang de phosphatases alcalines sériques (enzyme impliquée dans la dégradation des os) est revenu à la normale ou est redescendu d'au moins 75% pour se rapprocher des taux normaux."
"Sequoia","souffrir de ostéoporose","§ ['souffrant', ""d'"", 'ostéoporose'] : Chez les patients souffrant d'ostéoporose, Aclasta a permis de réduire plus efficacement le nombre de fractures par rapport au placebo.  § ['souffrant', ""d'"", 'ostéoporose'] : La première étude a porté sur près de 8 000 femmes âgées souffrant d'ostéoporose et a tenu compte du nombre de fractures de la colonne vertébrale et de la hanche intervenues sur une période de trois ans.  § ['souffrant', ""d'"", 'ostéoporose'] : La deuxième étude a impliqué 2 127 hommes et femmes souffrant d'ostéoporose, âgés de plus de 50 ans, qui s'étaient récemment fracturé la hanche, et s'est intéressée au nombre de fractures sur une période de cinq ans au maximum."
"Sequoia","avoir tendance","§ ['ont', 'tendance'] : La plupart des effets indésirables associés à Aclasta ont tendance à se produire dans les trois jours suivant la perfusion et ils deviennent moins fréquents lors des perfusions réitérées.  § ['a', 'tendance'] : L'appât du gain est tel que le monde financier a tendance à engendrer une euphorie collective tournant souvent à la crise financière."
"Sequoia","se produire","§ ['se', 'produire'] : La plupart des effets indésirables associés à Aclasta ont tendance à se produire dans les trois jours suivant la perfusion et ils deviennent moins fréquents lors des perfusions réitérées.  § ['se', 'produire'] : En raison du délai d'action rapide de l'acide zolédronique sur le remodelage osseux, une hypocalcémie transitoire, parfois symptomatique, peut se produire et atteindre généralement une valeur maximale dans les 10 premiers jours suivant l'administration d'Aclasta.  § ['se', 'produisent'] : Ces réactions se produisent rarement (environ 1 pour 1000 patients traités)."
"Sequoia","se baser","§ ['se', 'basant'] : L'appréciation clinique du médecin traitant devrait orienter la prise en charge de chaque patient en se basant sur l'évaluation individuelle du rapport bénéfice/risque.  § ['nous', 'baser'] : Nous devons nous baser sur les leçons que nous avons tirées de ces actions."
"Sequoia","présenter altération","§ ['présentant', 'altération'] : Une insuffisance rénale a été observée après l'administration d'acide zolédronique, en particulier chez les patients présentant une altération rénale préexistante ou des facteurs de risque supplémentaires (par exemple, chimiothérapie anticancéreuse, médicaments néphrotoxiques concomitants, déshydratation sévère, etc.)."
"Sequoia","se révéler","§ ['se', 'révélées'] : Des perfusions uniques et multiples de 5 et 15 minutes avec 2, 4, 8 et 16 mg d'acide zolédronique chez 64 patients ont généré les données pharmacocinétiques suivantes, qui se sont révélées indépendantes de la dose.  § [""s'"", 'révélé'] : Chez les patients subissant un ICP, Angiox s'est montré aussi efficace que l'héparine pour toutes les mesures, excepté en ce qui concerne le saignement majeur, pour lequel il s'est révélé nettement meilleur (niveau de saignement inférieur) que l'héparine."
"Sequoia","faire attention","§ ['Faites', 'attention'] : Faites attention avec Aclasta"
"Sequoia","entraîner irrégularité","§ ['entraîne', 'irrégularités'] : Il n'est pas clairement établi à ce jour qu'Aclasta entraîne ces irrégularités du rythme cardiaque mais en cas de survenue des ces symptômes après avoir reçu Aclasta vous devez en faire part à votre médecin."
"Sequoia","faire part","§ ['faire', 'part'] : Il n'est pas clairement établi à ce jour qu'Aclasta entraîne ces irrégularités du rythme cardiaque mais en cas de survenue des ces symptômes après avoir reçu Aclasta vous devez en faire part à votre médecin.  § ['fait', 'part'] : Au cours du dernier conseil municipal réuni vendredi, Claude Manet, maire, a fait part au conseil des conclusions du commissaire enquêteur suite à l'enquête publique qui a eu lieu pour les travaux de la rue du Château."
"Sequoia","faire le objet polémique","§ ['fera', ""l'"", 'objet', 'polémique'] : Plus tard, le bombardement des tranchées françaises fera l'objet d'une polémique, à la suite d'un témoignage : Le général Réveilhac, ordonnateur de l'attaque, aurait demandé à l'artillerie de pilonner les positions française pour obliger les soldats à sortir de leurs tranchées."
"Sequoia","faire valoir","§ ['faire', 'valoir'] : Les épouses des fusillés reçurent le franc symbolique au titre de dommages et intérêts, mais l'essentiel était que ces 4 hommes soient réhabilités dans la mémoire des Français et que leurs veuves puissent enfin faire valoir leurs droits à pension."
"Sequoia","prendre suite","§ ['prit', 'suite'] : Un livre, Pour l'honneur de Théo et des caporaux de Souain, écrit par Jacqueline Laisné, l'institutrice qui prit la suite de Blanche Maupas dans son école, raconte également cette histoire."
"Sequoia","avoir lieu","§ ['a', 'lieu'] : Le premier retour de familles (adultes, femmes, enfants) a lieu par la ""traversée du Beach"" (navette fluviale qui effectue les liaisons Brazzaville-Kinshasa), et comprend environ 1500 personnes, sous le contrôle du HCR.  § ['eu', 'lieu'] : Il est probable que ce blocage a eu lieu avant la dispersion des commissions occultes.  § ['a', 'lieu'] : Le procès a lieu à Brazzaville en 2005."
"Sequoia","effectuer liaison","§ ['effectue', 'liaisons'] : Le premier retour de familles (adultes, femmes, enfants) a lieu par la ""traversée du Beach"" (navette fluviale qui effectue les liaisons Brazzaville-Kinshasa), et comprend environ 1500 personnes, sous le contrôle du HCR."
"Sequoia","se opposer","§ [""s'"", 'opposait'] : Ce dernier avait publié un pamphlet violent contre Richelieu et s'opposait fermement à la destruction des murailles de la ville.  § [""s'"", 'opposait'] : Selon le procureur Jean-Pierre Dintilhac, rien ne s'opposait à une audition de Jacques Chirac comme témoin assisté dans cette affaire."
"Sequoia","faire référence","§ ['font', 'référence'] : Les poursuites ne font pas référence à son rôle comme instigateur ou organisateur."
"Sequoia","se pencher","§ ['se', 'penchera'] : Le procureur général à la Cour de cassation Jean-François Burgelin, par ailleurs proche du Chef de l'État, décide fin août que la juridiction ne se penchera pas sur ce dossier délicat.  § ['nous', 'pencher'] : Je crois que nous devrions nous pencher sur ce problème.  § ['se', 'penchera'] : Nous voulons protéger notre droit à avoir des idées, des sentiments, des émotions, contre l'invasion technologique des grands frères, comme nous le laisse à penser le cas récent d'Échelon, sur lequel cette Assemblée se penchera sous peu."
"Sequoia","avoir droit","§ ['ont', 'droit'] : Les fonctionnaires n'ayant pas à l'époque de statut protecteur et étant considérés comme des agents du gouvernement d'une part, les militaires ayant un rôle et un statut très particulier sous la Troisième République d'autre part (ils ne votent pas et n'ont pas le droit d'exprimer publiquement des opinions politiques -du moins pas au sens de factions- durant leur service actif), le général André avait paradoxalement le droit -du moins dans l'idée des prérogatives politiques de l'époque- du gouvernement sur ses agents, bien qu'il soit ici tout de même aux limites de la légalité de faire surveiller ses officiers, y compris dans leur vie privée, au nom de l'intérêt supérieur de l'État.  § ['avait', 'droit'] : Les fonctionnaires n'ayant pas à l'époque de statut protecteur et étant considérés comme des agents du gouvernement d'une part, les militaires ayant un rôle et un statut très particulier sous la Troisième République d'autre part (ils ne votent pas et n'ont pas le droit d'exprimer publiquement des opinions politiques -du moins pas au sens de factions- durant leur service actif), le général André avait paradoxalement le droit -du moins dans l'idée des prérogatives politiques de l'époque- du gouvernement sur ses agents, bien qu'il soit ici tout de même aux limites de la légalité de faire surveiller ses officiers, y compris dans leur vie privée, au nom de l'intérêt supérieur de l'État.  § ['a', 'droit'] : Donc l'Autriche a tout à fait le droit de former un gouvernement et le Président de la Commission a parfaitement le droit, et a même le devoir, de présenter ses meilleurs voeux à l'Autriche."
"Sequoia","contrat signer","§ ['contrat', 'signé'] : En août 1991, le contrat des frégates de Taïwan (contrat Bravo) est signé pour 2,8 milliards de dollars US.  § ['contrat', 'signé'] : L'argent pourrait alors servir au règlement du litige civil avec Taïwan qui exige que la France rembourse les commissions occultes que le contrat signé en 1991 interdisait formellement par son article 18.  § ['signé', 'contrat'] : Hier en fin d'après-midi, il a signé un nouveau contrat de deux ans, acceptant finalement les propositions de Jacques Rousselot."
